Ja-CheolKoo Augsburg 29 M(CLR) 28 2051 27.9 0.9 0.6 21.4 4.9 6.68
HåvardNordtveit Hoffenheim 28 D(CR)DMC 15 967 38.1 3.1 2.4 29.9 2.7 6.68
YussufPoulsen RasenBallsportLeipzig 24 AM(R)FW 30 1662 19 0.1 0.2 11.8 6.8 6.68
GonzaloCastro BorussiaDortmund 31 M(CR) 19 1209 41 1.4 1.4 33.8 4.4 6.68
TobiasStrobl BorussiaM.Gladbach 28 D(CR)DMC 4 113 17.3 1.5 1 13.5 1.3 6.68
AndreasBeck VfBStuttgart 31 D(LR)M(R) 23 1931 36.8 2.4 2.8 24.3 7.3 6.67
Marc-OliverKempf Freiburg 23 D(C) 12 903 42.7 4.1 4.5 30.1 4 6.67
DominiqueHeintz FCCologne 25 D(CL) 31 2790 47.9 5.1 4.6 34.7 3.5 6.67
MarcelSchmelzer BorussiaDortmund 30 D(CL)M(L) 18 1493 61.2 1.4 3.1 49 7.8 6.66
ReeceOxford BorussiaM.Gladbach 19 Defender 7 463 33.7 2.1 1.7 23.1 6.7 6.66
YoricRavet Freiburg 28 M(R) 10 495 15.1 0.5 0.6 9.3 4.7 6.65
NicolaiMüller HamburgerSV 30 M(CLR)FW 2 26 5.5 - - 4.5 1 6.65
MahmoudDahoud BorussiaDortmund 22 M(C) 23 1138 28.7 1.8 0.7 22.3 4 6.64
NadiemAmiri Hoffenheim 21 AM(C) 28 1741 28 1.1 1.2 21.7 4 6.64
MilosVeljkovic WerderBremen 22 D(C)DMC 30 2656 46.8 6.4 5.7 29.9 4.8 6.64
IshakBelfodil WerderBremen 26 AM(L)FW 26 1347 15.8 0.3 0.2 10 5.4 6.64
ArneMaier HerthaBerlin 19 DMC 17 1227 37.1 1.9 1.4 29.2 4.6 6.64
PaulVerhaegh Wolfsburg 34 D(R)M(R) 31 2619 44.6 3.2 3.4 31.8 6.3 6.64
