AleksandarDragovic Leicester 27 D(C) 11 767 30.6 2.9 2 23.2 2.5 6.76
DarylJanmaat Watford 29 D(R)M(R) 23 1822 33.4 2.3 2.9 23 5.1 6.76
DanielSturridge Liverpool 28 M(R)FW 9 431 14.1 0.3 - 11 2.8 6.76
JonathanHogg Huddersfield 29 DMC 30 2408 47.1 2.1 1.7 38 5.3 6.76
JackButland Stoke 25 GK 35 3150 33.4 11.5 17.8 3.9 0.2 6.76
JoséHolebas Watford 34 D(L)M(L) 28 2382 34.2 2 3.9 21.4 6.9 6.76
AngeloOgbonna WestHam 30 D(C) 32 2880 31.7 2.8 3 22.4 3.4 6.76
FedericoFernández Swansea 29 D(C) 30 2677 40.3 3.1 3.3 30.1 3.9 6.76
MameBiramDiouf Stoke 30 M(LR)FW 35 2602 15.9 0.2 0.5 8.9 6.3 6.76
PaulDummett NewcastleUnited 26 D(CL) 20 1603 30 2 3.2 18.9 6 6.76
MarcusRashford ManchesterUnited 20 AM(LR)FW 35 1810 16.5 0.5 0.4 12.4 3.2 6.76
KikoFemenía Watford 27 D(R)M(R) 23 1715 34.5 1.2 1.9 27.5 3.9 6.76
CharlieTaylor Burnley 24 D(L)M(L) 11 949 29.6 1.3 5.2 18.5 4.6 6.75
DeAndreYedlin NewcastleUnited 25 D(R) 34 2842 29.4 0.9 2.5 21.2 4.9 6.75
DavyPröpper Brighton 26 M(C) 35 3120 39.7 3.3 2 27.7 6.7 6.75
JamesMcArthur CrystalPalace 30 M(CLR) 33 2434 32.4 1.1 1.9 24.5 4.9 6.75
PetrCech Arsenal 36 GK 34 3040 23.9 5.4 8.2 10.2 0.1 6.75
PabloZabaleta WestHam 33 GK 34 3040 23.9 5.4 8.2 10.2 0.1 6.75
DannyRose Tottenham 28 D(L)M(L) 10 802 37.8 2 2 28.8 5 6.74
HugoLloris Tottenham 31 GK 36 3240 27.7 6 6.9 14.8 - 6.74
WayneHennessey CrystalPalace 31 GK 27 2430 25.5 8.5 13.7 3.3 - 6.74
Joselu NewcastleUnited 28 FW 30 1716 19.8 0.3 0.3 12.1 7 6.74
CenkTosun Everton 27 FW 14 991 18.8 0.6 0.1 12.6 5.4 6.74
EtienneCapoue Watford 30 D(C)M(CL) 23 1542 38 2.7 2.1 28.7 4.6 6.74
MichelVorm Tottenham 34 GK 1 90 24 2 3 19 - 6.74
JackCork Burnley 29 DMC 38 3420 41.7 2.3 2.1 31.3 6 6.74
WillHughes Watford 23 M(C) 15 995 26.9 0.2 0.8 21.2 4.7 6.74
JoãoMário WestHam 25 M(CLR) 13 1027 33.8 0.8 0.6 26.7 5.7 6.74
AyozePérez NewcastleUnited 25 AM(CLR)FW 36 2497 19.9 0.3 0.6 13.9 5.1 6.74
MatRyan Brighton 26 GK 38 3420 27.7 9.6 14.4 3.7 - 6.74
MattPhillips WestBromwichAlbion 27 M(LR)FW 30 2097 16.6 0.6 1 11.5 3.5 6.73
LewisCook Bournemouth 21 M(CL) 29 2239 42.3 3.7 2.4 29.9 6.3 6.73
IlkayGündogan ManchesterCity 27 M(C) 30 1510 46.7 1.1 0.5 41.7 3.4 6.73
MartinDubravka NewcastleUnited 29 GK 12 1080 26.3 6 12.1 8.3 - 6.73
AdamSmith Bournemouth 27 D(LR)M(R) 27 2069 33.8 1.1 1.5 26.7 4.4 6.73
LeightonBaines Everton 33 D(L)M(L) 22 1910 34.3 1.3 2.2 26.2 4.6 6.73
AndrewSurman Bournemouth 32 M(CL) 25 1852 47.1 2.6 1.8 37.1 5.5 6.73
ErikPieters Stoke 30 D(L)M(L) 31 2720 32.2 1.7 3.1 21.4 6 6.73
DominicCalvert-Lewin Everton 21 AM(L)FW 32 1876 15.4 0.1 0.3 9.3 5.8 6.72
RyanFraser Bournemouth 24 M(CLR) 26 2010 31.4 0.8 1.3 23.3 6.1 6.71
Zanka Huddersfield 28 D(C) 38 3420 41.1 2.7 4.4 28.8 5.1 6.71
JonjoShelvey NewcastleUnited 26 M(C) 30 2269 46.1 5.2 6.8 28.1 5.9 6.70
SamByram WestHam 24 D(R)M(R) 5 247 16.8 0.6 2.8 9.2 4.2 6.70
Bruno Brighton 37 D(R)M(R) 25 2018 38.9 2.5 3 29.4 4 6.70
AshleyWilliams Everton 34 D(C) 24 1835 30.5 2.2 3.3 22.4 2.6 6.70
AlexPritchard Huddersfield 25 AM(CLR) 14 1003 24.6 0.9 1.5 16.7 5.5 6.70
LorisKarius Liverpool 25 GK 19 1710 27.4 4.1 8.9 14.4 0.1 6.70
ScottDann CrystalPalace 31 D(C) 17 1435 33.3 2.8 3.6 23.8 3.1 6.69
RobHolding Arsenal 22 D(CR) 12 820 50.3 2.5 2.8 40 4.9 6.69
AaronCresswell WestHam 28 D(CL)M(L) 36 3073 36.1 2.7 4 25.1 4.2 6.69
KieranGibbs WestBromwichAlbion 28 D(L)M(L) 33 2831 30.7 1.2 2.7 21.8 5.1 6.69
Ederson ManchesterCity 25 GK 37 3197 25.1 4 3.6 17.4 0.1 6.68
TobyAlderweireld Tottenham 29 D(CR) 14 1177 65.4 7.9 5.8 48.1 3.5 6.68
SofianeBoufal Southampton 24 AM(CLR)FW 26 1215 20.5 0.5 0.7 15.6 3.7 6.68
AndyCarroll WestHam 29 FW 16 748 15.5 0.6 0.6 8.9 5.4 6.68
LeroyFer Swansea 28 M(CL) 20 1399 31.6 2.2 1.5 23.5 4.5 6.67
GeoffCameron Stoke 33 D(CLR)DMC 20 1526 25.3 1.4 3.2 16.9 3.8 6.67
JanBednarek Southampton 22 D(C) 5 428 36.2 1.6 5.2 25.6 3.8 6.67
PerMertesacker Arsenal 33 D(C) 6 365 41.2 1.2 1.2 36.5 2.3 6.67
MichaelCarrick ManchesterUnited 37 D(C)M(C) 2 109 49.5 6 5.5 36 2 6.67
BoazMyhill WestBromwichAlbion 35 GK 1 90 19 8 9 2 - 6.66
TomCleverley Watford 29 M(CLR) 23 1905 49.4 2.5 2.6 38.2 6.2 6.66
Pedro Chelsea 31 M(CLR) 31 1524 21.1 0.9 0.5 16.6 3 6.66
VictorLindelöf ManchesterUnited 24 D(CR) 17 1284 44.2 1.8 1.3 38.4 2.8 6.66
RyanBertrand Southampton 29 D(CL)M(L) 35 3137 42.3 1.1 2.5 32.2 6.5 6.66
JeffreySchlupp CrystalPalace 25 D(L)M(L) 24 1748 27.3 1.1 2.4 19.1 4.6 6.66
KarlDarlow NewcastleUnited 27 GK 10 900 29.7 8.2 15.8 5.5 0.2 6.66
AinsleyMaitland-Niles Arsenal 20 GK 10 900 29.7 8.2 15.8 5.5 0.2 6.66
MarcosRojo ManchesterUnited 28 D(CL) 9 642 39.8 2.1 4.6 30.3 2.8 6.65
KonstantinosStafylidis Stoke 24 D(L)M(L) 5 335 18.8 0.8 1.8 13.8 2.4 6.65
JordonIbe Bournemouth 22 AM(CLR) 32 2002 21.7 0.7 0.3 16.8 3.9 6.65
WillyCaballero Chelsea 36 GK 3 270 29.3 5.7 8.3 14.7 0.7 6.65
AdrianMariappa Watford 31 D(CR) 28 2209 34.3 1.9 3.1 24.5 4.8 6.65
CharlieDaniels Bournemouth 31 D(L)M(L) 35 3005 44.8 1.7 2.8 33.6 6.7 6.64
